Hebrew,English
בסדרת(vsdrt),In a series
המשותף(hmšwtp),Joint
תושבים(twšvym),Residents
השליטה(hšlyṭh),Controlling
לעקוב(lʿqwv),follow
לקרות(lqrwt),happen
הרשת(hršt),The network
שחורים(šḥwrym),Blacks
הקמתה(hqmth),Its establishment
ואלו(wʾlw),And these
תלמידי(tlmydy),Students
תפילות(tpylwt),Prayers
באתרים(vʾtrym),On the sites
צפייה(ṣpyyh),Watching
מצויים(mṣwyym),Are found
קדושה(qdwšh),holiness
שלחו(šlḥw),Send
לקחו(lqḥw),Have taken
בשלושה(všlwšh),In three
באנשים(vʾnšym),In people
פנימית(pnymyt),Internal
בפינת(vpynt),In the corner
דיברו(dyvrw),Spoke
המגמה(hmgmh),The trend
מתמיד(mtmyd),perpetual
מהעיר(mhʿyr),From the city
קהילת(qhylt),The community
התיאור(htyʾwr),The description
גג(gg),roof
השמים(hšmym),The sky
ניסיונות(nysywnwt),Attempts
ליישם(lyyšm),Implement
שנבחר(šnvḥr),Selected
אפור(ʾpwr),gray
לאשר(lʾšr),confirm
מלאים(mlʾym),Full of
לוחמת(lwḥmt),Warrior
שנתן(šntn),Who gave
חשבה(ḥšvh),Thought
עבדה(ʿvdh),Worked
קולג(qwlg),college
בחברת(vḥvrt),In a company
כחצי(kḥṣy),About half
הפרסום(hprswm),The publication
מערכים(mʿrkym),Arrays
ילדיו(yldyw),His children
המכהן(hmkhn),The incumbent
הסקר(hsqr),The survey
אימה(ʾymh),terror
הקונגרס(hqwngrs),Congress
לתמוך(ltmwk),support
השתתפה(hšttph),Participated
ולפי(wlpy),And according to
אינטרס(ʾynṭrs),interest
חידושים(ḥydwšym),Innovations
מסובך(mswvk),complicated
פינלנד(pynlnd),Finland
אוסטריה(ʾwsṭryh),Austria
החוב(hḥwv),The debt
מאפשרים(mʾpšrym),Allow for
תעבור(tʿvwr),Pass
פתחו(ptḥw),Open
הגן(hgn),The garden
למספרים(lmsprym),To numbers
הזר(hzr),The stranger
הנוגע(hnwgʿ),Relating to
מקומם(mqwmm),Their place
מפורטת(mpwrṭt),Detailed
להתמקד(lhtmqd),focus
הדרוש(hdrwš),Required
שלל(šll),loot
תחליף(tḥlyp),replacement
החקירה(hḥqyrh),Investigation
בנסיבות(vnsyvwt),In circumstances
שעד(šʿd),That until
פיתח(pytḥ),Has developed
החולה(hḥwlh),The patient
ניסויים(nyswyym),Experiments
למבנה(lmvnh),To the structure
מהנדס(mhnds),engineer
המוכר(hmwkr),The seller
שקדי(šqdy),Almond
אבנר(ʾvnr),Avner
מיידי(myydy),Instant
אישיים(ʾyšyym),Personal
כינוי(kynwy),Nickname
הלל(hll),praise
כתביו(ktvyw),His writings
האח(hʾḥ),Brother
השעשועים(hšʿšwʿym),Theme
אליהן(ʾlyhn),To them
לבחירות(lvḥyrwt),For elections
הכתב(hktv),The reporter
זקן(zqn),old
ייצוג(yyṣwg),Representation
רינה(rynh),Rina
בתוכן(vtwkn),In content
מסתיים(mstyym),Ends
הדיבור(hdyvwr),Speech
משמשים(mšmšym),Are used
שאיננו(šʾynnw),That we do not
חומות(ḥwmwt),Walls
שיער(šyʿr),Hair
חברתיות(ḥvrtywt),Social
ארוחה(ʾrwḥh),meal
התיירות(htyyrwt),Tourism
לפתרון(lptrwn),To solve
מאזור(mʾzwr),From an area
שממנו(šmmnw),From which
הרמטכ(hrmṭk),The chick
ובעולם(wvʿwlm),And in the world
לגרסה(lgrsh),To the version
הזהות(hzhwt),Identity
הלחימה(hlḥymh),The fighting
הוציאו(hwṣyʾw),Have taken out
מעיד(mʿyd),Indicates
התגלו(htglw),Were discovered
כביכול(kvykwl),as it were
שחר(šḥr),dawn
לטענה(lṭʿnh),To the claim
הקימו(hqymw),Set up
גנאי(gnʾy),notoriety
ההרוגים(hhrwgym),Killed
כניעה(knyʿh),surrender
מהווים(mhwwym),Constitute
הכיפורים(hkypwrym),Yom Kippur
משאבים(mšʾvym),Resources
גרעין(grʿyn),nucleus
מוזרים(mwzrym),Strange
רון(rwn),Ron
השכנים(hšknym),Neighbors
נפרדת(nprdt),Separate
אנושי(ʾnwšy),human
להיווצר(lhywwṣr),To form
ומאז(wmʾz),And since then
נשארת(nšʾrt),Stayed
העצם(hʿṣm),The bone
סיכום(sykwm),Summary
חמורות(ḥmwrwt),Severe
משמעו(mšmʿw),Means
מסורתי(mswrty),traditional
עוקבים(ʿwqvym),Follows
גמורה(gmwrh),Finished
מארק(mʾrq),Mark
אחורה(ʾḥwrh),backwards
עליית(ʿlyyt),Immigration
משרדי(mšrdy),office
השישים(hšyšym),The sixties
מוגן(mwgn),protected
פשעים(pšʿym),Crimes
תגיע(tgyʿ),You will arrive
סייעה(syyʿh),Helped
יפים(ypym),Beautiful
וחסר(wḥsr),And missing
תופס(twps),Catches
באר(vʾr),well
היסטוריות(hysṭwrywt),Historical
הברזל(hvrzl),The iron
כללו(kllw),Included
ששני(ššny),Two
מסורת(mswrt),tradition
גורדון(gwrdwn),Gordon
שיקגו(šyqgw),Chicago
לערכי(lʿrky),To values
מוגבלת(mwgvlt),Limited
זרמים(zrmym),Streams
מצאת(mṣʾt),You found
אתו(ʾtw),With him
עמדת(ʿmdt),A position
תצטרך(tṣṭrk),You'll need
מנקודת(mnqwdt),From a point
רכיב(rkyv),component
פטירה(pṭyrh),demise
בסרטן(vsrṭn),Cancer
קבורה(qvwrh),burial
מימון(mymwn),A funding
נפגעי(npgʿy),A casualty
גופים(gwpym),Bodies
חלים(ḥlym),Applies
חופשת(ḥwpšt),Vacation
זכאית(zkʾyt),Entitled to
השלים(hšlym),Completed
ללשכת(llškt),To the bureau
פרמטרים(prmṭrym),Parameters
קיץ(qyṣ),summer
עופרת(ʿwprt),lead
מוגבלות(mwgvlwt),Disabled
המבנים(hmvnym),The buildings
נראו(nrʾw),Have been seen
מענין(mʿnyn),interesting
הספור(hspwr),The story
השחר(hšḥr),Dawn
הכריז(hkryz),Declared
חיב(ḥyv),A fond of
הפתוחה(hptwḥh),Open
אכל(ʾkl),food
יכל(ykl),could
המתאימה(hmtʾymh),That is appropriate
רפאים(rpʾym),Ghosts
הרגל(hrgl),habit
נחכה(nḥkh),We will wait
החתול(hḥtwl),Cat
העורב(hʿwrv),The crow
נפצע(npṣʿ),Wounded
הבחינה(hvḥynh),The exam
דקה(dqh),minute
שכחתי(škḥty),I forgot
שמר(šmr),Saved
קסטנר(qsṭnr),Castner
גורדי(gwrdy),Gordi
בברלין(vvrlyn),In Berlin
אפשטיין(ʾpšṭyyn),Epstein
הנבחרות(hnvḥrwt),The teams
התאחדות(htʾḥdwt),union
האולימפיאדה(hʾwlympyʾdh),The Olympics
נבה(nvh),Gallop
בחינות(vḥynwt),Exams
מייסדי(myysdy),The founders
מונרכיה(mwnrkyh),monarchy
ברובע(vrwvʿ),In a borough
המשטר(hmšṭr),The regime
מקצה(mqṣh),From allocating
נרצח(nrṣḥ),murdered
בקנדה(vqndh),In Canada
דל(dl),poor
בהיעדר(vhyʿdr),In the absence
רלוונטיים(rlwwnṭyym),Relevant
המתמטיקה(hmtmṭyqh),Mathematics
איינשטיין(ʾyynšṭyyn),Einstein
מאנגלית(mʾnglyt),From English
במירוץ(vmyrwṣ),In the race
בידך(vydk),In your hand
לנצרות(lnṣrwt),To Christianity
לצמיתות(lṣmytwt),permanently
לזכרו(lzkrw),In his memory
כרונולוגי(krwnwlwgy),chronological
בינו(vynw),Between him
חזית(ḥzyt),front
פסקת(psqt),A break
ביקשת(vyqšt),You have asked for
לקוראים(lqwrʾym),To readers
מסווג(mswwg),classified
להצבעת(lhṣvʿt),To a vote
בכיכר(vkykr),In the square
שדרות(šdrwt),Sderot
נייטרליות(nyyṭrlywt),Neutrality
הנמל(hnml),The harbor
וינה(wynh),Vienna
מפורסמים(mpwrsmym),Famous
גרוס(grws),Gross
השפות(hšpwt),The languages
התקבלו(htqvlw),Have been accepted
האדריכל(hʾdrykl),The architect
כעשרים(kʿšrym),About twenty
איי(ʾyy),Ery
משתי(mšty),From two
אדריכלות(ʾdryklwt),architecture
פיין(pyyn),Payne
עיבוד(ʿyvwd),Processing
שהתמונה(šhtmwnh),That the picture
שליליים(šlylyym),Negative
להמליץ(lhmlyṣ),recommend
אלברט(ʾlvrṭ),Albert
ללחוץ(llḥwṣ),press
חומה(ḥwmh),wall
מדוייק(mdwyyq),Accurate
צורם(ṣwrm),jarring
מייק(myyq),Mike
תרומתך(trwmtk),Your contribution
שהוספתי(šhwspty),Which I added
עציון(ʿṣywn),Etzion
שגיאת(šgyʾt),Error
אבסורד(ʾvswrd),absurd
דובי(dwvy),bearish
באקספלורר(vʾqsplwrr),In the Explorer
מגוחכת(mgwḥkt),Ridiculous
נקבה(nqvh),female
נספו(nspw),Perished
גרוסמן(grwsmn),Grossman
חלוץ(ḥlwṣ),pioneer
פון(pwn),From
נוסע(nwsʿ),passenger
מושחת(mwšḥt),corrupt
גרעינית(grʿynyt),Nuclear
אשנה(ʾšnh),Ash
אפיפיור(ʾpypywr),pope
אחפש(ʾḥpš),I will look for
ויקרא(wyqrʾ),And read
הרציונליים(hrṣywnlyym),The rational
המיטה(hmyṭh),The bed
נביות(nvywt),Niche
השוקולד(hšwqwld),The chocolate
טעים(ṭʿym),tasty
אתחיל(ʾtḥyl),I'll start
טיפוס(ṭypws),typhus
לרכב(lrkv),Car
הרחובות(hrḥwvwt),The streets
בפנים(vpnym),in
מקומית(mqwmyt),Local
הלכו(hlkw),Have gone
לברוח(lvrwḥ),escape
מבתי(mvty),From my daughter
הוסיפה(hwsyph),Has added
חווה(ḥwwh),A farm
נתקל(ntql),Encountered
מושלמת(mwšlmt),Perfect
בנתיים(vntyym),In the meantime
המתנה(hmtnh),waiting
מתוכם(mtwkm),Of them
מסתדר(mstdr),Gets along
הייתם(hyytm),You have been
ניסתה(nysth),Tried
מזכירה(mzkyrh),secretary
מבצעים(mvṣʿym),Offers
ואתם(wʾtm),And you
להתלונן(lhtlwnn),complain
הדירה(hdyrh),The apartment
המכתב(hmktv),The letter
העתק(hʿtq),copy
מוצר(mwṣr),product
המוצר(hmwṣr),The product
בהנחה(vhnḥh),Assuming
נסיך(nsyk),prince
מודעת(mwdʿt),A conscious
הפער(hpʿr),The gap
התנגד(htngd),Resisted
ובהמשך(wvhmšk),And later
להיפך(lhypk),Vice versa
מצידי(mṣydy),On my part
ברגל(vrgl),On foot
לביטחון(lvyṭḥwn),For security
הרגיש(hrgyš),Felt
ובאמת(wvʾmt),And in fact
איבד(ʾyvd),Lost
להיזהר(lhyzhr),Be careful
במרד(vmrd),In the rebellion
הכריזה(hkryzh),Has announced
בסרטים(vsrṭym),In movies
הסרת(hsrt),Removal
רחוקה(rḥwqh),Distant
העיסוק(hʿyswq),Occupation
נחשפו(nḥšpw),Were exposed to
טיול(ṭywl),trip
מצווה(mṣwwh),ordered
ממוצע(mmwṣʿ),average
גודלו(gwdlw),Its size
מהות(mhwt),essence
והוסיף(whwsyp),And added
הרצליה(hrṣlyh),Herzliya
שומרים(šwmrym),Guards
זכרו(zkrw),Remember
נטו(nṭw),net
שיעשה(šyʿšh),To do
אלים(ʾlym),violent
באמצעים(vʾmṣʿym),By means
סבורים(svwrym),Believe
ביקר(vyqr),Visited
הגידול(hgydwl),Tumor
לגידול(lgydwl),To tumor
העומד(hʿwmd),That stands
ברציפות(vrṣypwt),in a row
צומת(ṣwmt),node
הסובייטי(hswvyyṭy),Soviet
הצבאיים(hṣvʾyym),The military
מיועד(mywʿd),intended
התאבדות(htʾvdwt),suicide
באותן(vʾwtn),In the same
המנהיג(hmnhyg),The leader
היעד(hyʿd),Target
הטיל(hṭyl),Imposed
מילות(mylwt),Words
גדעון(gdʿwn),Gideon
ובעלי(wvʿly),And my husband
הון(hwn),capital
משרה(mšrh),job
נבחרים(nvḥrym),Selected
הינם(hynm),Are
שכלל(škll),Included
לאלה(lʾlh),To those
סובלים(swvlym),Suffer
הורדת(hwrdt),Download
ללשון(llšwn),To the tongue
וקצת(wqṣt),And a little
מעניינות(mʿnyynwt),Interesting
לחיי(lḥyy),To my life
קדושים(qdwšym),Saints
רייגן(ryygn),Reagan
בוחרים(vwḥrym),Choosing
שידע(šydʿ),Who knew
בניהול(vnyhwl),In managing
יזכה(yzkh),Will win
משפחתה(mšpḥth),Her family
התקבל(htqvl),Has been accepted
רפואית(rpwʾyt),Medical
נכות(nkwt),disability
עוזרת(ʿwzrt),maid
מתרחשת(mtrḥšt),Occurs
תפקוד(tpqwd),functioning
הראשוני(hrʾšwny),The initial
אחי(ʾḥy),My brother
להשתלב(lhštlv),integrate
המצאת(hmṣʾt),Inventing
צדדית(ṣddyt),Sides
מינה(mynh),Appointed
רמי(rmy),rummy
בוועדה(vwwʿdh),In the committee
יקבלו(yqvlw),Will receive
וזכה(wzkh),And won
עולמי(ʿwlmy),global
רעה(rʿh),evil
בממשלה(vmmšlh),In the government
הועלתה(hwʿlth),Has been raised
לוויין(lwwyyn),Satellite
שיכולים(šykwlym),Who can
בפעולות(vpʿwlwt),In actions
לבתי(lvty),To my daughter
נמשיך(nmšyk),We will continue
בקנה(vqnh),In the barrel
צופים(ṣwpym),Viewers
למשהו(lmšhw),For something
לפופולריות(lpwpwlrywt),To popularity
מהאתר(mhʾtr),From the site
מפשע(mpšʿ),Crime
וראש(wrʾš),And head
הנהלים(hnhlym),The procedures
מזיק(mzyq),harmful
בתוספת(vtwspt),Plus
מצוינת(mṣwynt),Excellent
נכלל(nkll),Included
מובהק(mwvhq),distinct
זכיתי(zkyty),I have won
מחלקות(mḥlqwt),Departments
היהודיות(hyhwdywt),The Jews
הכתר(hktr),The crown
מזרחית(mzrḥyt),East
היצורים(hyṣwrym),The creatures
היסטוריים(hysṭwryym),Historical
ששמו(ššmw),Its name
לפרק(lprq),dismantle
נוכח(nwkḥ),present
ההתייחסות(hhtyyḥswt),The reference
בולטת(vwlṭt),Prominent
הסתיימה(hstyymh),Ended
פלג(plg),faction
דגים(dgym),Fish
המסורתי(hmswrty),Traditional
הגנת(hgnt),Protection
הסוכנות(hswknwt),The agency
רצתה(rṣth),She wanted
המקומי(hmqwmy),The local
להרים(lhrym),lift
גבה(gvh),eyebrow
עושות(ʿwšwt),Do
יפתח(yptḥ),Will open
אוריאל(ʾwryʾl),Uriel
ככלל(kkll),As a rule
בחיוך(vḥywk),With a smile
למילה(lmylh),For the word
לזוג(lzwg),couple
ליאור(lyʾwr),Lior
אדירה(ʾdyrh),Tremendous
אדיר(ʾdyr),mighty
הקורבנות(hqwrvnwt),The victims
הדרכה(hdrkh),training
ההכשרה(hhkšrh),Training
מטרתו(mṭrtw),Its purpose
שייכים(šyykym),Belong to
יציב(yṣyv),stable
רופאים(rwpʾym),Doctors
האישור(hʾyšwr),Permit
באפריקה(vʾpryqh),In Africa
נעצר(nʿṣr),arrested
המוקדמות(hmwqdmwt),The early
גרמנים(grmnym),Germans
לביקורות(lvyqwrwt),For reviews
בנוי(vnwy),Built
טנק(ṭnq),tank
התקדמות(htqdmwt),progress
מתוחכם(mtwḥkm),sophisticated
שבט(švṭ),tribe
החשבון(hḥšvwn),The account
המודל(hmwdl),The model
לגן(lgn),For garden
המדעית(hmdʿyt),Scientific
מעגל(mʿgl),circle
השלכות(hšlkwt),Implications
מחזור(mḥzwr),cycle
נתוני(ntwny),Data
הנקודות(hnqwdwt),The points
האף(hʾp),Nose
קוראי(qwrʾy),Readers
מצה(mṣh),Matzah
הצהריים(hṣhryym),Noon
סיקור(syqwr),Coverage
שעושים(šʿwšym),Who do
כבן(kvn),As a son
שלושים(šlwšym),thirty
וחמש(wḥmš),And five
התזמורת(htzmwrt),The orchestra
המסעדה(hmsʿdh),The restaurant
מסדרת(msdrt),A series
וו(ww),hook
הסתכלתי(hstklty),I looked
חולצה(ḥwlṣh),shirt
הריכוז(hrykwz),Concentration
הרישום(hryšwm),The registration
הירדן(hyrdn),The Jordan
ברכב(vrkv),In a vehicle
שפע(špʿ),abundance
חוקיות(ḥwqywt),legality
החפירות(hḥpyrwt),Excavations
התקיים(htqyym),Took place
המבצר(hmvṣr),The fortress
למדע(lmdʿ),To science
גבורה(gvwrh),heroism
היחידי(hyḥydy),The only one
הכהן(hkhn),The priest
ההיסטורית(hhysṭwryt),Historical
באלימות(vʾlymwt),Violently
שטחי(šṭḥy),superficial
זניח(znyḥ),Negligible
הגנרל(hgnrl),The general
באש(vʾš),On fire
שנעשו(šnʿšw),Made
ללימוד(llymwd),To study
רצו(rṣw),Have wanted
הגבר(hgvr),The man
מצבה(mṣvh),gravestone
כיכר(kykr),A square
במאבק(vmʾvq),In the fight
קווים(qwwym),Lines
מפלצות(mplṣwt),Monsters
פגישה(pgyšh),meeting
בחלקים(vḥlqym),In parts
אבק(ʾvq),dust
אנושית(ʾnwšyt),Human
הקשורות(hqšwrwt),Associated with
רפואיים(rpwʾyym),Medical
פרטיות(prṭywt),privacy
טיסות(ṭyswt),Flights
בקטע(vqṭʿ),In the section
לנוח(lnwḥ),rest
בכדור(vkdwr),In the ball
מרשימת(mršymt),List
פוליטיקאים(pwlyṭyqʾym),Politicians
הנפט(hnpṭ),Oil
תסכים(tskym),Will agree
מליון(mlywn),A million
נעימה(nʿymh),tone
בפורנוגרפיה(vpwrnwgrpyh),In pornography
הפעולות(hpʿwlwt),The actions
תחילתה(tḥylth),Its beginning
למין(lmyn),sort
כמקור(kmqwr),As a source
להגדרה(lhgdrh),For definition
צניעות(ṣnyʿwt),modesty
מילר(mylr),Miller
ההוכחה(hhwkḥh),Proof
לאבד(lʾvd),lose
נאסר(nʾsr),Was banned
שעכשיו(šʿkšyw),Now
שריר(šryr),muscle
הררי(hrry),mountainous
רומא(rwmʾ),Rome
ביקשו(vyqšw),Asked for
נימוקים(nymwqym),Reasons
ולגבי(wlgvy),And for
טיעונים(ṭyʿwnym),Arguments
המשפחתי(hmšpḥty),The family
לינקולן(lynqwln),Lincoln
מסמל(msml),Signifies
ריח(ryḥ),smell
המסמך(hmsmk),The document
גשם(gšm),rain
והרי(whry),After all
להקות(lhqwt),Bands
הנפגעים(hnpgʿym),The casualties
תפקידה(tpqydh),Role
שאכן(šʾkn),Indeed
השפיע(hšpyʿ),Influenced
סטודנט(sṭwdnṭ),student
נפח(npḥ),volume
גב(gv),back
נסע(nsʿ),Traveled
צוחק(ṣwḥq),Laughs
סודי(swdy),secret
נאה(nʾh),handsome
מהעבודה(mhʿvwdh),From work
מקופת(mqwpt),From a period
בקופת(vqwpt),In the box
דנה(dnh),Dana
הצהרה(hṣhrh),statement
טיפולי(ṭypwly),Therapeutic
שעתיים(šʿtyym),Two hours
מחודש(mḥwdš),renewed
הופסקה(hwpsqh),Has been discontinued
להקפיד(lhqpyd),Make sure
הכשרות(hkšrwt),Kosher
הדרישות(hdryšwt),The requirements
לחצו(lḥṣw),Press
פירוק(pyrwq),Dismantling
קראה(qrʾh),Read
השיבה(hšyvh),Replied
עיניה(ʿynyh),Her eyes
ושתי(wšty),And two
כנפיים(knpyym),Wings
תרשים(tršym),chart
תפסיק(tpsyq),Stop
אהב(ʾhv),Liked
מכר(mkr),sale
תומר(twmr),Tomer
מתה(mth),Died
חדרה(ḥdrh),A room
קשת(qšt),arch
שמחים(šmḥym),Happy
ול(wl),And
איזכור(ʾyzkwr),A mention
לכינוי(lkynwy),To the nickname
קדומות(qdwmwt),Ancients
תנו(tnw),Give
לצחוק(lṣḥwq),laugh
תחשוב(tḥšwv),Think
פסיכולוגיה(psykwlwgyh),psychology
ואח(wʾḥ),And l
בויקישיתוף(vwyqyšytwp),In a drummer
להתפתח(lhtptḥ),develop
מספיקה(mspyqh),Is enough
ישעיהו(yšʿyhw),Isaiah
הנחיתה(hnḥyth),Landing
ממלכת(mmlkt),Kingdom
אורכו(ʾwrkw),Its length
תורמים(twrmym),Contributors
הצפיפות(hṣpypwt),The density
הוסרו(hwsrw),Have been removed
כמדומני(kmdwmny),As well
מתעקש(mtʿqš),Insists
ברובם(vrwvm),Most of them
הציור(hṣywr),The painting
המקביל(hmqvyl),Corresponding
מעריצים(mʿryṣym),Fans
לימין(lymyn),To the right
מכוסה(mkwsh),covered
מלאכה(mlʾkh),craft
ברלין(vrlyn),Berlin
למחוז(lmḥwz),To the district
השמיני(hšmyny),The eighth
בעיקרון(vʿyqrwn),Basically
כתיבתו(ktyvtw),His writing
למקורות(lmqwrwt),To the sources
מימן(mymn),hydrogen
והייתה(whyyth),And was
הקתדרלה(hqtdrlh),The cathedral
שיפוץ(šypwṣ),Renovation
נין(nyn),great grandchild
חלוקות(ḥlwqwt),Divisions
המפעיל(hmpʿyl),The operator
מהתבנית(mhtvnyt),From the mold
לארכב(lʾrkv),crank
גלויה(glwyh),postcard
גפן(gpn),vine
דמוקרטי(dmwqrṭy),democratic
איגוד(ʾygwd),A union
התכוונת(htkwwnt),You meant
מפוזרים(mpwzrym),Scattered
רבן(rvn),A rabbi
עמיחי(ʿmyḥy),Amichai
חוג(ḥwg),circle
תורגמו(twrgmw),Translated
הוצעו(hwṣʿw),Have been offered
התעתיק(htʿtyq),The transcript
כראש(krʾš),As a head
הבהרת(hvhrt),Clarification
סבירות(svyrwt),reasonability
בצפת(vṣpt),In Safed
דורשת(dwršt),Requires
תלמוד(tlmwd),Talmud
לורנס(lwrns),Lawrence
הבחינות(hvḥynwt),The exams
טאו(ṭʾw),Tao
חוצפה(ḥwṣph),gall
במקורות(vmqwrwt),In the sources
ארמסטרונג(ʾrmsṭrwng),Armstrong
עניינית(ʿnyynyt),A matter of fact
האיכות(hʾykwt),The quality
גלקסיות(glqsywt),Galaxies
מחבלים(mḥvlym),Terrorists
לסדרת(lsdrt),For a series
הצמד(hṣmd),The pair
סבבה(svvh),Good
פגעו(pgʿw),Hit
ואשמח(wʾšmḥ),And would be happy
אבדוק(ʾvdwq),I will check
בעיניך(vʿynyk),To your eyes
בנאי(vnʾy),constructor
בגרמנית(vgrmnyt),In German
מנהג(mnhg),custom
נצרות(nṣrwt),Christianity
השחית(hšḥyt),The corruption
למושג(lmwšg),To the concept
נינצ(nynṣ),Ninc
כחודש(kḥwdš),About a month
גרוזיה(grwzyh),Georgia
השכתוב(hšktwv),Rewrite
היפוך(hypwk),Reversal
מבלבל(mvlvl),confusing
להרחבה(lhrḥvh),For an extension
צבר(ṣvr),Sabra
פלילי(plyly),criminal
הזכרים(hzkrym),The males
מנהלת(mnhlt),Manager
פרסי(prsy),Persian
וורד(wwrd),Word
תקפה(tqph),Valid
השחור(hšḥwr),The black
עובדתי(ʿwvdty),factual
מועתק(mwʿtq),copied
פירושו(pyrwšw),Means
שחזור(šḥzwr),reconstruction
המדויק(hmdwyq),The exact
משוואות(mšwwʾwt),Equations
מאיזה(mʾyzh),From which
יי(yy),Yi
זולה(zwlh),Cheap
ישוב(yšwv),settlement
נמל(nml),port
לגזור(lgzwr),cut
בביטוי(vvyṭwy),In the phrase
הטורקית(hṭwrqyt),Turkish
סופי(swpy),final
ישמעאל(yšmʿʾl),Ishmael
האסטרונאוטים(hʾsṭrwnʾwṭym),The astronauts
הגלגלים(hglglym),The wheels
ההפצצות(hhpṣṣwt),The bombings
טליראן(ṭlyrʾn),Taliran
אורחות(ʾwrḥwt),Guests
ימורי(ymwry),Yumori
הפעוט(hpʿwṭ),Toddler
השמועות(hšmwʿwt),Rumors
שנולד(šnwld),Born
וחוסר(wḥwsr),And lack
ואבא(wʾvʾ),And dad
הסיר(hsyr),The pot
מאחור(mʾḥwr),behind
ביקשה(vyqšh),Asked for
באיש(vʾyš),In a man
מסוגלת(mswglt),Capable
בתקופות(vtqwpwt),During periods
מגדיר(mgdyr),Defines
איזון(ʾyzwn),Balance
במעבדה(vmʿvdh),In the lab
לנקודת(lnqwdt),To a point
לשוחח(lšwḥḥ),talk
סל(sl),basket
מייצרים(myyṣrym),Produce
גיליתי(gylyty),I discovered
הבחור(hvḥwr),The guy
לטובה(lṭwvh),for the better
רשם(ršm),registrar
הלבוש(hlvwš),Attire
סיבת(syvt),A cause
במערכות(vmʿrkwt),In systems
כלא(klʾ),prison
שיבוא(šyvwʾ),To come
מקומה(mqwmh),Place
מהתחלה(mhtḥlh),at first
ביחסים(vyḥsym),In the relationship
להכריז(lhkryz),declare
להגביל(lhgvyl),limit
מגבלות(mgvlwt),Restrictions
התביעה(htvyʿh),The claim
במפגש(vmpgš),In the meeting
נדע(ndʿ),We will know
כשאין(kšʾyn),When there is no
מביאה(mvyʾh),Brings
שמור(šmwr),Reserved
מתאימות(mtʾymwt),Fit
לאינטרנט(lʾynṭrnṭ),Internet
ערכית(ʿrkyt),Value
מהדורות(mhdwrwt),Editions
מרגישים(mrgyšym),Feel
למידה(lmydh),learning
חילוניים(ḥylwnyym),Secular
פריטים(pryṭym),Items
רחוקות(rḥwqwt),Far away
להוות(lhwwt),constitute
פועלות(pwʿlwt),proletariat
למים(lmym),To water
שאחד(šʾḥd),That one
במחצית(vmḥṣyt),In half
כחבר(kḥvr),As a friend
הניסיון(hnysywn),Attempt
מרכיב(mrkyv),component
קבלו(qvlw),Get
הרגשות(hrgšwt),The emotions
השלב(hšlv),The phase
השפעתו(hšpʿtw),His influence
יאנג(yʾng),Young
ממונה(mmwnh),superior
המקומיות(hmqwmywt),Locals
הבדיקות(hvdyqwt),The tests
השיב(hšyv),Replied
יישובים(yyšwvym),Settlements
מוקד(mwqd),focus
היישובים(hyyšwvym),The localities
שהביא(šhvyʾ),That brought
בבנק(vvnq),In the bank
הדרום(hdrwm),South
שימור(šymwr),Preservation
און(ʾwn),And
חוסיין(ḥwsyyn),Hussein
צפוף(ṣpwp),dense
שבמקרה(švmqrh),In the case of
נוצרת(nwṣrt),Formed
השורות(hšwrwt),The lines
שכולנו(škwlnw),That we all
בעקבותיו(vʿqvwtyw),In the wake of it
פלילית(plylyt),Criminal
ואולם(wʾwlm),But
דאז(dʾz),then
המסר(hmsr),The message
הממונה(hmmwnh),The supervisor
וערכים(wʿrkym),And values
המועמדים(hmwʿmdym),Candidates
ממאה(mmʾh),From a century
תוחלת(twḥlt),expectation
הרופא(hrwpʾ),The doctor
ממערכת(mmʿrkt),From a system
הפסקת(hpsqt),A break
ממשפחת(mmšpḥt),From a family
הסרטן(hsrṭn),The cancer
מכתבים(mktvym),Letters
למאה(lmʾh),To a century
קדומה(qdwmh),Ancient
המלח(hmlḥ),The salt
במפעל(vmpʿl),In a factory
נדירים(ndyrym),Rare
שלקח(šlqḥ),Who took
סודות(swdwt),Secrets
בקשתו(vqštw),His request
האותיות(hʾwtywt),The letters
מחכים(mḥkym),Are waiting for
השתנו(hštnw),Changed
התרומה(htrwmh),The donation
מהגרים(mhgrym),Migrants
להתעסק(lhtʿsq),mess
בשפת(všpt),In the language
המצביעים(hmṣvyʿym),Voters
בדואר(vdwʾr),by mail
העיתונים(hʿytwnym),The newspapers
לחוש(lḥwš),sense
בייחוד(vyyḥwd),Especially
לשבור(lšvwr),break
תסמונת(tsmwnt),syndrome
קרויה(qrwyh),Called
ממצאים(mmṣʾym),Findings
הלחץ(hlḥṣ),The pressure
מופנה(mwpnh),directed
המס(hms),The tax
מבחוץ(mvḥwṣ),from outside
בבעלות(vvʿlwt),Owned
מדויקים(mdwyqym),Precise
צעדים(ṣʿdym),Steps
יכלו(yklw),Could
ושלוש(wšlwš),And three
היחידים(hyḥydym),The only ones
ניצחה(nyṣḥh),Won
הפסיד(hpsyd),Has lost
שחושב(šḥwšv),Who thinks
יונייטד(ywnyyṭd),United
וכאשר(wkʾšr),And when
דון(dwn),don
קריאות(qryʾwt),readability
האיטלקי(hʾyṭlqy),Italian
משלושה(mšlwšh),From three
הבעייה(hvʿyyh),The problem
החוזה(hḥwzh),The contract
התרחש(htrḥš),Occurred
הנגב(hngv),The Negev
